ID,Date,Beijing,Wuhan,Shanghai,Shenzhen,Confirmed
1,12/1/2019,0.72,0.65,0.69,0.68,0
2,12/2/2019,0.62,0.63,0.64,0.58,0
3,12/3/2019,0.61,0.61,0.63,0.6,0
4,12/4/2019,0.6,0.61,0.65,0.62,0
5,12/5/2019,0.59,0.63,0.64,0.57,0
6,12/6/2019,0.64,0.62,0.69,0.62,0
7,12/7/2019,0.7,0.66,0.73,0.64,0
8,12/8/2019,0.65,0.66,0.71,0.71,0
9,12/9/2019,0.6,0.6,0.65,0.61,0
10,12/10/2019,0.61,0.59,0.64,0.58,0
11,12/11/2019,0.62,0.62,0.66,0.61,0
12,12/12/2019,0.61,0.6,0.66,0.56,0
13,12/13/2019,0.64,0.63,0.67,0.64,0
14,12/14/2019,0.69,0.63,0.71,0.66,0
15,12/15/2019,0.68,0.64,0.72,0.67,0
16,12/16/2019,0.76,0.6,0.67,0.58,0
17,12/17/2019,0.65,0.59,0.65,0.58,0
18,12/18/2019,0.62,0.65,0.64,0.61,0
19,12/19/2019,0.63,0.62,0.62,0.58,0
20,12/20/2019,0.62,0.59,0.64,0.6,0
21,12/21/2019,0.71,0.63,0.68,0.64,0
22,12/22/2019,0.7,0.68,0.71,0.69,0
23,12/23/2019,0.67,0.62,0.69,0.62,0
24,12/24/2019,0.72,0.68,0.74,0.69,0
25,12/25/2019,0.75,0.72,0.77,0.71,0
26,12/26/2019,0.65,0.45,0.69,0.63,0
27,12/27/2019,0.65,0.61,0.67,0.61,0
28,12/28/2019,0.66,0.63,0.71,0.67,0
29,12/29/2019,0.68,0.66,0.69,0.66,0
30,12/30/2019,0.65,0.64,0.67,0.66,0
31,12/31/2019,0.74,0.65,0.74,0.68,0
32,1/1/2020,0.83,0.8,0.84,0.82,0
33,1/2/2020,0.68,0.64,0.69,0.66,0
34,1/3/2020,0.64,0.59,0.65,0.61,0
35,1/4/2020,0.69,0.63,0.69,0.65,0
36,1/5/2020,0.75,0.61,0.67,0.66,14
37,1/6/2020,0.76,0.57,0.64,0.6,4
38,1/7/2020,0.65,0.59,0.64,0.61,35
39,1/8/2020,0.63,0.58,0.64,0.6,19
40,1/9/2020,0.63,0.59,0.65,0.62,11
