ID	S3	NDVI	NDWI	Nightlight	Building	Sidewalk
313	0	4	5	1	1	1
5	0	4	6	1	1	1
340	0	4	7	1	1	1
407	0.5	7	7	1	1	1
285	0	5	6	1	1	1
371	0	4	6	1	1	1
24	0	2	4	1	1	1
370	0	4	4	1	1	1
472	0	4	7	1	1	1
723	-0.333333333	4	6	1	1	1
471	0.333333333	6	7	1	1	1
231	0	2	5	1	1	1
3	-0.666666667	6	2	1	1	1
632	0.5	6	7	1	1	1
604	0	4	6	1	1	1
693	-0.333333333	5	6	1	1	1
339	-0.333333333	6	6	2	1	1
713	0.714285714	1	7	2	1	1
692	0.6	6	6	3	1	1
677	0.5	6	7	3	1	1
709	0.333333333	6	6	3	1	1
635	0.5	6	5	3	1	1
106	-0.333333333	2	7	3	1	1
309	0.6	6	1	4	1	1
187	0	7	6	4	1	1
278	0	7	6	4	1	1
376	0	6	1	4	1	1
558	0	4	2	4	1	1
437	0.666666667	7	4	4	1	1
379	0.2	6	7	4	1	1
70	0.5	4	7	4	1	1
438	-0.333333333	7	7	4	1	1
95	0	1	6	4	1	1
315	0.2	7	7	4	1	1
654	0.333333333	4	6	5	1	1
345	0.75	7	7	5	1	1
2	0.6	6	7	5	1	1
704	0.333333333	2	7	5	1	1
9	0.6	7	7	5	1	1
214	0.2	7	6	5	1	1
712	0.538461538	7	7	5	1	1
32	0.6	6	7	5	1	1
91	0	4	3	6	1	1
708	0.2	6	7	6	1	1
8	0.25	7	7	6	1	1
284	0.555555556	7	7	6	1	1
655	0.5	6	6	6	1	1
572	0	7	7	6	1	1
436	0.454545455	7	7	6	1	1
23	0.142857143	3	7	6	1	1
728	0.714285714	7	7	6	1	1
155	0	7	7	6	1	1
375	-0.2	7	6	6	1	1
631	0.333333333	6	6	6	1	1
539	-0.333333333	6	5	6	1	1
646	0	4	7	6	1	1
280	0	6	6	6	1	1
248	0.6	6	6	6	1	1
657	0.333333333	7	7	6	1	1
251	0.285714286	7	7	6	1	1
660	-0.5	4	7	6	1	1
198	0.6	3	7	6	1	1
675	-0.142857143	7	7	6	1	1
283	0	6	7	6	1	1
20	0	6	6	6	1	1
679	0.333333333	4	7	6	1	1
727	0.6	6	7	7	1	1
570	0.5	6	6	7	1	1
19	0.5	4	7	7	1	1
403	0.571428571	1	7	7	1	1
292	0.333333333	6	1	7	1	1
689	0.142857143	7	7	7	1	1
218	0.75	7	6	7	1	1
338	0.714285714	7	7	7	1	1
52	0	6	7	7	1	1
402	0.384615385	6	7	7	1	1
153	0.333333333	5	4	7	1	1
569	0	6	7	7	1	1
656	0	7	7	7	1	1
21	0.333333333	6	7	7	1	1
374	0.333333333	7	7	7	1	1
