ID	date	Urban	Rural	Total
1	12/31/2019	596.7536019	262.6627006	859.4163025
2	1/1/2020	978.4291028	414.8563008	1393.285404
3	1/2/2020	369.1206019	164.8430006	533.9636025
4	1/3/2020	332.244601	159.0764007	491.3210017
5	1/4/2020	362.2922011	208.5374996	570.8297007
6	1/5/2020	402.2790014	199.0177997	601.2968012
7	1/6/2020	358.961301	161.3914003	520.3527012
8	1/7/2020	335.3196011	143.3886005	478.7082015
9	1/8/2020	292.963801	131.6913001	424.655101
10	1/9/2020	317.9331008	143.8694005	461.8025013
11	1/10/2020	295.7304012	118.7328003	414.4632015
12	1/11/2020	305.3226011	115.5231002	420.8457012
13	1/12/2020	308.8426008	123.0307002	431.873301
14	1/13/2020	270.9847009	116.9497002	387.934401
15	1/14/2020	262.8450009	113.4799002	376.3249011
16	1/15/2020	270.7635008	119.9182	390.6817007
17	1/16/2020	253.7635009	102.9211001	356.6846009
18	1/17/2020	252.8949004	111.3933001	364.2882006
19	1/18/2020	254.9972002	113.31	368.3072001
20	1/19/2020	244.618401	103.3588002	347.9772012
21	1/20/2020	291.6570002	135.6289002	427.2859004
22	1/21/2020	322.0404009	168.7638999	490.8043008
23	1/22/2020	298.6754008	148.1577001	446.8331009
24	1/23/2020	1078.110709	470.8368395	1548.947549
25	1/24/2020	975.2430584	426.4970045	1401.740063
26	1/25/2020	1097.157224	517.5692695	1614.726493
27	1/26/2020	726.4558826	325.6160998	1052.071982
28	1/27/2020	1013.655426	388.8284444	1402.48387
29	1/28/2020	590.9465482	271.6266295	862.5731777
30	1/29/2020	595.900917	284.0555398	879.9564569
31	1/30/2020	559.6376023	255.1875999	814.8252021
32	1/31/2020	621.1371481	287.42134	908.558488
33	2/1/2020	634.3954127	298.6249348	933.0203475
34	2/2/2020	706.9394139	363.077075	1070.016489
35	2/3/2020	613.05339	292.0903397	905.1437297
36	2/4/2020	590.4730099	297.4733198	887.9463298
37	2/5/2020	613.9430828	289.4256799	903.3687627
38	2/6/2020	604.4593881	271.1232199	875.582608
39	2/7/2020	742.9207088	381.6240598	1124.544769
40	2/8/2020	754.9639555	375.5342894	1130.498245
41	2/9/2020	647.7560824	354.0179393	1001.774022
42	2/10/2020	639.0190009	312.0173297	951.0363306
43	2/11/2020	731.0162801	366.6575105	1097.673791
44	2/12/2020	658.7803683	353.2818251	1012.062193
45	2/13/2020	707.6750625	359.2432946	1066.918357
46	2/14/2020	898.4378191	450.869525	1349.307344
47	2/15/2020	1040.370922	599.5560295	1639.926951
48	2/16/2020	764.0053023	437.6614246	1201.666727
49	2/17/2020	733.35727	402.5309652	1135.888235
50	2/18/2020	736.8026644	365.2979448	1102.100609
51	2/19/2020	658.852211	376.5297843	1035.381995
52	2/20/2020	741.7167045	407.1162196	1148.832924
53	2/21/2020	668.0884244	358.8563996	1026.944824
54	2/22/2020	713.3418529	391.306885	1104.648738
55	2/23/2020	769.109419	377.0062696	1146.115689
56	2/24/2020	737.6077612	408.07167	1145.679431
57	2/25/2020	730.7689174	384.7763792	1115.545297
58	2/26/2020	678.9479638	358.3593595	1037.307323
59	2/27/2020	685.1682657	374.1313801	1059.299646
60	2/28/2020	702.5514224	360.6470594	1063.198482
61	2/29/2020	1113.311365	602.9754644	1716.286829
62	3/1/2020	748.2118456	411.8654651	1160.077311
63	3/2/2020	696.9202492	343.4891703	1040.409419
64	3/3/2020	644.1133822	343.0742845	987.1876667
65	3/4/2020	679.5636389	357.3987246	1036.962363
66	3/5/2020	707.7919892	363.7741096	1071.566099
67	3/6/2020	715.9463146	354.4561998	1070.402514
68	3/7/2020	788.1451689	456.0332902	1244.178459
69	3/8/2020	820.3813277	462.2928198	1282.674147
70	3/9/2020	727.4382671	361.4522047	1088.890472
71	3/10/2020	779.2314524	415.1650093	1194.396462
72	3/11/2020	689.053487	365.5436944	1054.597181
73	3/12/2020	749.7013702	399.7204645	1149.421835
74	3/13/2020	722.569059	362.1685398	1084.737599
75	3/14/2020	739.445072	420.0374593	1159.482531
76	3/15/2020	763.466454	429.1657248	1192.632179
77	3/16/2020	699.3406673	381.7324714	1081.073139
78	3/17/2020	906.1529023	488.4535658	1394.606468
79	3/18/2020	787.9263756	418.5924196	1206.518795
80	3/19/2020	872.2476527	419.1888393	1291.436492
81	3/20/2020	834.342302	444.2896593	1278.631961
82	3/21/2020	759.7129816	394.9889743	1154.701956
83	3/22/2020	788.8342414	418.0384001	1206.872642
84	3/23/2020	785.1214993	413.220255	1198.341754
85	3/24/2020	741.9563733	404.2144269	1146.1708
86	3/25/2020	795.3787851	431.0164997	1226.395285
87	3/26/2020	852.6216447	452.3023896	1304.924034
88	3/27/2020	729.1229418	385.2525651	1114.375507
89	3/28/2020	791.5252955	395.0534246	1186.57872
90	3/29/2020	757.0424921	390.8919242	1147.934416
91	3/30/2020	790.173558	389.3803446	1179.553903
92	3/31/2020	826.2903406	395.9548245	1222.245165
93	4/1/2020	938.0229987	460.999164	1399.022163
94	4/2/2020	763.6273301	361.8967394	1125.52407
95	4/3/2020	829.5950024	369.7650699	1199.360072
96	4/4/2020	1424.760463	610.3196351	2035.080098
97	4/5/2020	914.652876	445.6257539	1360.27863
98	4/6/2020	987.0642935	454.4303248	1441.494618
99	4/7/2020	1119.209537	494.8237045	1614.033242
